,Publication Number,Title,Country Code,Filing Date,International Classification,Application Number,Applicant,Inventor,Description
0,WO/2024/068585,"METHOD FOR DRY-FORMING A CELLULOSE BOTTLE, CELLULOSE BOTTLE FORMING UNIT AND CELLULOSE BOTTLE",WO,04.04.2024,B31B 50/36,PCT/EP2023/076468,PULPAC AB,"LARSSON, Ove","A bottle forming unit and method for dry-forming at least a part of a cellulose bottle from an air-formed cellulose blank structure in a bottle forming unit. The dry-formed cellulose blank structure is shaped into a shaped cellulose blank structure in a shaping unit comprising a forming shoulder, where the shaped cellulose blank structure has a tube-like configuration with an inner surface and an outer surface."
1,WO/2024/061575,DRY-FORMING MOULD SYSTEM AND METHOD FOR COLLECTING CELLULOSE PRODUCTS IN A DRY-FORMING MOULD SYSTEM,WO,28.03.2024,B31D 5/02,PCT/EP2023/073537,PULPAC AB,"LARSSON, Ove","A dry-forming mould system comprising a forming mould for dry-forming cellulose products from an air-formed cellulose blank structure. The forming mould comprises a first mould part and a second mould part configured for interacting with each other during dry-forming of the cellulose products from the air-formed cellulose blank structure in the forming mould. The dry-forming mould system comprises a transporting unit and a collecting unit, and the transporting unit is configured for transporting the dry-formed cellulose products from the forming mould to the collecting unit. The collecting unit comprises an elongated product flow channel configured for receiving and guiding the cellulose products, and the product flow channel is configured for receiving several consecutive cellulose products from the forming mould."
2,WO/2024/068057,"METHOD FOR DRY-FORMING A CELLULOSE BOTTLE, CELLULOSE BOTTLE FORMING UNIT AND CELLULOSE BOTTLE",WO,04.04.2024,B31B 50/36,PCT/EP2023/066247,PULPAC AB,"LARSSON, Ove","A bottle forming unit and method for dry-forming a cellulose bottle from an air-formed cellulose blank structure in a bottle forming unit. The dry-formed cellulose bottle comprises a neck portion, a closed bottom portion, and a mid-portion arranged between the closed bottom portion and the neck portion. The mid-portion is arranged in fluid communication with the neck portion. The dry-formed cellulose blank structure is shaped into a shaped cellulose blank structure, where the shaped cellulose blank structure has a tube-like configuration with an inner surface and an outer surface. A first section of the shaped cellulose blank structure is fed to a first forming mould and a semi-closed bottom portion of the cellulose bottle is formed from the first section in the first forming mould, simultaneously with forming the neck portion of a directly preceding cellulose bottle from the first section in the first forming mould. A following second section of the shaped cellulose blank structure is fed to the first forming mould and the neck portion of the cellulose bottle is formed from the second section in the first forming mould, simultaneously with forming a semi-closed bottom portion of a directly following cellulose bottle from the second section in the first forming mould."
3,WO/2024/068562,"METHOD FOR DRY-FORMING A CELLULOSE BOTTLE, CELLULOSE BOTTLE FORMING UNIT AND CELLULOSE BOTTLE",WO,04.04.2024,B31B 50/36,PCT/EP2023/076428,PULPAC AB,"LARSSON, Ove","A bottle forming unit and method for dry-forming a cellulose bottle from an air-formed cellulose blank structure in a bottle forming unit. The dry-formed cellulose bottle comprises a neck portion, a closed bottom portion, and a mid-portion arranged between the closed bottom portion and the neck portion. The mid-portion is arranged in fluid communication with the neck portion. The dry-formed cellulose blank structure is shaped into a shaped cellulose blank structure, where the shaped cellulose blank structure has a tube-like configuration with an inner surface and an outer surface. A first section of the shaped cellulose blank structure is fed to a first forming mould and a semi-closed bottom portion of the cellulose bottle is formed from the first section in the first forming mould, simultaneously with forming the neck portion of a directly preceding cellulose bottle from the first section in the first forming mould. A following second section of the shaped cellulose blank structure is fed to the first forming mould and the neck portion of the cellulose bottle is formed from the second section in the first forming mould, simultaneously with forming a semi-closed bottom portion of a directly following cellulose bottle from the second section in the first forming mould."
4,3215284,METHOD FOR DRY-FORMING CELLULOSE PRODUCTS FROM A CELLULOSE BLANK STRUCTURE IN A PRODUCT FORMING UNIT AND A PRODUCT FORMING UNIT,CA,20.10.2022,B30B 1/10,3215284,PULPAC AB,"LARSSON, OVE",Method for dry-forming cellulose products (1) from a cellulose blank structure (2) in a product forming unit. The product forming unit comprises a blank dry-forming module (4) and a pressing module (6). The cellulose blank structure (2) is air-formed in the blank dry-forming module (4) onto a forming wire (4c). The pressing module (6) comprises one or more forming moulds (3) for forming the cellulose products (1) from the cellulose blank structure in a pressing operation. The method comprises the step: arranging the forming wire in a stationary mode during the pressing operation.
5,4323181,METHOD FOR DRY-FORMING CELLULOSE PRODUCTS FROM A CELLULOSE BLANK STRUCTURE IN A PRODUCT FORMING UNIT AND A PRODUCT FORMING UNIT,EP,21.02.2024,B30B 1/10,22720731,PULPAC AB,LARSSON OVE,Method for dry-forming cellulose products (1) from a cellulose blank structure (2) in a product forming unit. The product forming unit comprises a blank dry-forming module (4) and a pressing module (6). The cellulose blank structure (2) is air-formed in the blank dry-forming module (4) onto a forming wire (4c). The pressing module (6) comprises one or more forming moulds (3) for forming the cellulose products (1) from the cellulose blank structure in a pressing operation. The method comprises the step: arranging the forming wire in a stationary mode during the pressing operation.
6,WO/2022/218873,METHOD FOR DRY-FORMING CELLULOSE PRODUCTS FROM A CELLULOSE BLANK STRUCTURE IN A PRODUCT FORMING UNIT AND A PRODUCT FORMING UNIT,WO,20.10.2022,B30B 1/10,PCT/EP2022/059512,PULPAC AB,"LARSSON, Ove",Method for dry-forming cellulose products (1) from a cellulose blank structure (2) in a product forming unit. The product forming unit comprises a blank dry-forming module (4) and a pressing module (6). The cellulose blank structure (2) is air-formed in the blank dry-forming module (4) onto a forming wire (4c). The pressing module (6) comprises one or more forming moulds (3) for forming the cellulose products (1) from the cellulose blank structure in a pressing operation. The method comprises the step: arranging the forming wire in a stationary mode during the pressing operation.
7,WO/2021/156190,PROCESS FOR MANUFACTURING A FIBER BASED CELLULOSE WEB FOR DRY FORMING,WO,12.08.2021,D21H 27/42,PCT/EP2021/052283,SÖDRA SKOGSÄGARNA EKONOMISK FÖRENING,"BÖRJESSON, Katrin","The present inventive concept relates to a process for manufacturing a fiber based cellulose web for dry forming comprising. The process comprises providing a wet cellulose pulp; free drying said wet cellulose pulp to a free dried cellulose pulp, wherein said free drying provides a curl to fibres of said free dried cellulose pulp; separating said free dried cellulose pulp into individual free dried cellulose pulp fibres; and forming said individual free dried cellulose pulp fibres into a cellulose web."
8,4100575,PROCESS FOR MANUFACTURING A FIBER BASED CELLULOSE WEB FOR DRY FORMING,EP,14.12.2022,D21H 27/42,21703858,SOEDRA SKOGSAEGARNA EKONOMISK FOERENING,BÖRJESSON KATRIN,"The present inventive concept relates to a process for manufacturing a fiber based cellulose web for dry forming comprising. The process comprises providing a wet cellulose pulp; free drying said wet cellulose pulp to a free dried cellulose pulp, wherein said free drying provides a curl to fibres of said free dried cellulose pulp; separating said free dried cellulose pulp into individual free dried cellulose pulp fibres; and forming said individual free dried cellulose pulp fibres into a cellulose web."
9,3429928,"METHOD FOR MANUFACTURING A CELLULOSE PRODUCT, CELLULOSE PRODUCT FORMING APPARATUS AND CELLULOSE PRODUCT",EP,23.01.2019,B29B 13/06,17767071,PULPAC AB,LARSSON OVE,"A method for manufacturing a cellulose product, comprising the steps: dry forming a cellulose blank in a dry forming unit; arranging the cellulose blank in a forming mould; heating the cellulose blank to a forming temperature in the range of 100°C to 200°C; and pressing the cellulose blank in the forming mould with a forming pressure of at least 1 MPa."
