,Publication Number,Title,Country Code,Filing Date,International Classification,Application Number,Applicant,Inventor,Description
0,20160009473,Molded fiber packaging,US,14.01.2016,B65D 77/26,14328974,Apple Inc.,Michael Korinek,"Packaging used to hold and ship consumer products may include components having complementary edges that are coupled together when the packaging is assembled. The packaging may also display a product in an aesthetically appealing way by holding the product in way that makes it appear as if the product is “floating.” The packaging may be made of recyclable and/or biodegradable material, such as molded fiber paper material that reduces the environmental impact of the packaging."
1,110683210,Full-pulp-molded lid and base packaging box,CN,14.01.2020,B65D 81/03,201910872568.5,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",SU XIANKAI,"The invention discloses a full-pulp-molded lid and base packaging box and a production process thereof. The packaging box comprises an upper cover, a middle support and a bottom cover, wherein the middle support is of an integrally formed box body structure with a side edge buffer area and middle divided placement areas, the divided placement areas are arranged as areas in different shapes and sizes according to requirements so as to place different functional parts, and the inner side near edge positions of the different areas can be arranged as inner concave surfaces matched with the edge contact surfaces of to-be-placed articles, so that the clamping positions of the placed articles are formed. The full-pulp molded lid and base packaging box is integrally formed, is environment-friendlyand attractive, and has the good positioning property and buffering property."
2,211494767,Automatic packaging device for molded pulp products,CN,15.09.2020,B65B 61/20,201922224610.0,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",YANG FUCHENG,"The utility model relates to the technical field of packaging. The utility model discloses an automatic packaging device for molded pulp products. The problem that an existing packaging device needs manual product carrying is solved. Packaging pearl wool and laying a cutter card; manpower demand is large, manual labor intensity is high, and the working efficiency is low. The device comprises a workbench, the upper end of the workbench is connected with a conveying mechanism. A carrying mechanism is connected to one side of the upper end of the conveying mechanism; the carrying mechanism comprises a supporting rod, a mounting plate, a supporting plate, a lead screw, a rotating motor, a first sliding block, a carrying plate, a second sliding block and a sliding rod. The upper ends of the supporting rods are connected with mounting plates; support plates are connected to two sides of the upper end of the mounting plate; through the arrangement of the structure, one device completes two working actions, namely pearl wool sleeving and cutter placing clamp sleeving, and compared with manual operation, the working efficiency is effectively improved, the labor intensity is reduced, and meanwhile manpower resources are reduced."
3,211168171,All-pulp molded heaven and earth cover packaging box,CN,04.08.2020,B65D 81/133,201921534220.7,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",SU XIANKAI,"The utility model discloses an all-paper-pulp molded packaging box with a top cover and a bottom cover. The packaging box comprises an upper cover, a middle support and a bottom cover. The middle support is integrally formed and provided with a side edge buffering area. The box body structure is characterized in that the box body structure is divided into placement areas in the middle, the dividedplacement areas are arranged to be areas of different shapes and sizes according to needs so as to contain different functional components, the positions, close to the edges, of the inner sides of the different areas can be arranged to be inwards concave faces matched with the edge contact faces of placed objects, and clamping positions of the placed objects are formed. The full-pulp molded heaven and earth cover packaging box is integrally formed, is environment-friendly and attractive, and has good positioning performance and buffering performance."
4,217075107,Molded pulp packaging structure,CN,29.07.2022,B65D 1/22,202220829029.0,"WING FAT (JIANGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",YOSHINAGA,"The utility model provides a paper pulp molding packaging structure which comprises a box body, a paper pulp molding layer, a paper pulp molding layer, a paper pulp molding layer and a paper pulp molding layer. One end of the baffle plate is connected with the periphery of the top opening of the box body, and the other end of the baffle plate extends along the bottom direction of the box body; the buffering block is located between the baffle and the box body, one end of the buffering block is fixedly connected to the baffle, the other end of the buffering block is fixedly connected with the outer side wall of the containing groove, the packaging structure is integrally formed, the exquisite appearance and the buffering performance of deformation resistance are both considered, the manual cost and the material cost are reduced, and the packaging quality is improved. And the working efficiency is improved."
5,110937217,Molded Fiber Cushioning,CN,31.03.2020,B65D 25/02,201910691864.5,APPLE INC.,PINCUS DEREK BOWMAN,"The invention relates to a molded fiber cushioning. Packaging may include cushioning elements. Molded fiber cushioning elements may be configured as end caps, and may include independently flexible panels. The cushioning elements may include an upper and lower panel fixed together about their periphery, but free to bend and translate about and along each other otherwise. The cushioning elements may include opposed mechanical bends that are proximate a friction interface, thereby allowing the cushioning element to absorb impact and vibration, and replacing the need for less environmentally friendly cushioning, such as expanded polystyrene or foam cushioning."
6,111099114,Full-pulp molded foldable packing box,CN,05.05.2020,B65D 13/00,201911211809.8,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",CHE DALI,"The invention discloses a full-pulp molded foldable packing box and a production process thereof. The full-pulp molded foldable packing box is mainly composed of a shell, an upper cover and a lower cover. Product pockets are integrally formed in the upper cover and/or the lower cover, and the product pockets are clamping positions integrally formed according to the shape of products to be accommodated; male buckles and female buckles are integrally formed in the upper cover and the lower cover, and occlusal fastening is realized through the combination of the male buttons and the female buttons. The full pulp molded foldable packing box is integrally formed, environmental-friendly and beautiful, and has good positioning and buffering properties."
7,3256402,PACKAGING UNIT OF FOAMED MOULDED FIBER MATERIAL AND METHOD FOR MANUFACTURING SUCH PACKAGING UNIT,EP,20.12.2017,B65D 85/32,16715914,HUHTAMAKI MOLDED FIBER TECH BV,KUIPER HARALD JOHN,"The present invention relates to a packaging unit (2) made of moulded pulp for products like eggs (P) and a method for manufacturing such packaging unit. The packaging unit according to the present invention comprises: - a carrier part (10) having a length, a width and a depth; and - one or more product compartments (48) that are provided in the carrier and are configured for receiving a product, wherein the moulded pulp comprises a foamed moulded fiber material, comprising a fiber material and a foaming agent, and having a solid content of the fiber material in the packaging unit abot 35% by weight."
8,2014276,Packaging unit of foamed moulded fiber material and method for manufacturing such packaging unit.,NL,13.10.2016,B65D 85/32,2014276,HUHTAMAKI MOLDED FIBER TECH BV,HARALD JOHN KUIPER,"The present invention relates to a packaging unit made of moulded pulp for products like eggs and a method for manufacturing such packaging unit. The packaging unit according to the present invention comprises: a carrier part having a length, a width and a depth; and one or more product compartments that are provided in the carrier and are configured for receiving a product, wherein the moulded pulp comprises a foamed moulded fiber material, comprising a fiber material and a foaming agent, and having a solid content of the fiber material in the packaging unit after forming above 35% by weight."
9,211808184,"Automatic glue spraying, compounding and packaging integrated device for pulp molding",CN,30.10.2020,B31F 5/04,201922404148.2,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",CHEN CAIJIAN,"The utility model discloses an automatic glue spraying, compounding and packaging integrated device for pulp molding, which particularly relates to the technical field of mechanical automation and comprises an upper cover assembly line, a first lower cover assembly line and a second lower cover assembly line, and the first lower cover assembly line is fixedly arranged on one side of the upper cover assembly line. The upper cover assembly line, the first lower cover assembly line and the second lower cover assembly line are designed, the design of the three assembly lines is adopted, and the phenomenon that two kinds of products are placed on an original assembly line in a mixed mode is effectively prevented. According to the utility model, a molded pulp combined product with a smooth outersurface is manufactured and is finally formed through a dispensing and pressing process, and due to the pre-pressing design, the fitting degree between the upper cover and the lower cover is ensured,and the problem that the product is pressed and layered due to insufficient contact ratio is prevented."
